keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,units_available,brand,category,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_email,seller_business_name,seller_country,seller_state_province,seller_zip_code,seller_phone,seller_address,scraped_at,last_updated
instyler rotating iron,Easy Sourcing,javascript:void(0);,,,,USD,,,,,,,,,,,,,,,,,,2025-08-11T12:13:44.570270,
instyler rotating iron,Product Alert,javascript:void(0);,,,,USD,,,,,,,,,,,,,,,,,,2025-08-11T12:13:44.572272,
