keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,units_available,brand,category,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_email,seller_business_name,seller_country,seller_state_province,seller_zip_code,seller_phone,seller_address,scraped_at,last_updated
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,US$ 6-6.7/ Piece,US$ 6-6.7/ Piece,6.0,USD,,,,,,,"Market Union Co., Ltd.Market Union Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaTrading Company",,,,,,,,,,,2025-08-11T12:14:35.610204,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,US$ 38-42/ Piece,US$ 38-42/ Piece,38.0,USD,,,,,,,"Dongguan Zhimi Electrical Technology Co., Ltd.Dongguan Zhimi Electrical Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading Company",,,,,,,,,,,2025-08-11T12:14:35.619721,
hair dryer,Salon-Grade Performance Magnetic Nozzle Attachments Intelligent Heat ControlHairDryer,https://cy-electronic.en.made-in-china.com/product/NJeUlqkokZpO/China-Salon-Grade-Performance-Magnetic-Nozzle-Attachments-Intelligent-Heat-Control-Hair-Dryer.html,US$ 36-42/ Piece,US$ 36-42/ Piece,36.0,USD,,,,,,,"Chaozhou Chengying Technology Co., LtdChaozhou Chengying Technology Co., LtdDiamond MemberAudited SupplierGuangdong, China",,,,,,,,,,,2025-08-11T12:14:35.629850,
hair dryer,Wholesale Professional Salon 2200W Hot and ColdHairDryerConstant Temperature High Speed High PowerHairDryer,https://fiyele.en.made-in-china.com/product/zaVRflIHswcx/China-Wholesale-Professional-Salon-2200W-Hot-and-Cold-Hair-Dryer-Constant-Temperature-High-Speed-High-Power-Hair-Dryer.html,US$ 13.34-13.92/ Piece,US$ 13.34-13.92/ Piece,13.34,USD,,,,,,,"Yueqing Fiy Electric Co., Ltd.Yueqing Fiy Electric Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading Company",,,,,,,,,,,2025-08-11T12:14:35.639986,
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,US$ 30-39/ Piece,US$ 30-39/ Piece,30.0,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, China",,,,,,,,,,,2025-08-11T12:14:35.649498,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,US$ 36-37.5/ pieces,US$ 36-37.5/ pieces,36.0,USD,,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierZhejiang, China",,,,,,,,,,,2025-08-11T12:14:35.659001,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,US$ 11-13/ Piece,US$ 11-13/ Piece,11.0,USD,,,,,,,"Wenzhou Won-Try Electric Appliance Co., Ltd.Wenzhou Won-Try Electric Appliance Co., Ltd.Gold MemberAudited SupplierZhejiang, ChinaManufacturer/Factory",,,,,,,,,,,2025-08-11T12:14:35.667516,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,US$ 11.96-12.32/ Piece,US$ 11.96-12.32/ Piece,11.96,USD,,,,,,,"Dongguan Bidisco Electric CO., LTDDongguan Bidisco Electric CO., LTDDiamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading Company",,,,,,,,,,,2025-08-11T12:14:35.678569,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,US$ 31-39/ Piece,US$ 31-39/ Piece,31.0,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.Shenzhen Baiyisen Health Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, China",,,,,,,,,,,2025-08-11T12:14:35.689587,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,US$ 9.8-11/ Piece,US$ 9.8-11/ Piece,9.8,USD,,,,,,,"Guangzhou KooFex Appliances Co., Ltd.Guangzhou KooFex Appliances Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, China",,,,,,,,,,,2025-08-11T12:14:35.701650,
hair dryer,2024 Hot Selling Ionic Professional Salon LED Display ScreenHairBlowerDryerBLDC 2000W High Power 3 in 1 One StepHairDryer,https://huipuhairdryer.en.made-in-china.com/product/qAFrWZdlfLVJ/China-2024-Hot-Selling-Ionic-Professional-Salon-LED-Display-Screen-Hair-Blower-Dryer-BLDC-2000W-High-Power-3-in-1-One-Step-Hair-Dryer.html,US$ 37-38.5/ pieces,US$ 37-38.5/ pieces,37.0,USD,,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.Wenzhou Huipu Electrical Appliance Co., Ltd.Diamond MemberAudited SupplierSecured TradingZhejiang, China",,,,,,,,,,,2025-08-11T12:14:35.713683,
hair dryer,Salon High Speed Professional Anion LeaflessHairDryerwith Anti-Frizz Features Warranty,https://shanghaijinglang.en.made-in-china.com/product/LGjYEkMoYIhp/China-Salon-High-Speed-Professional-Anion-Leafless-Hair-Dryer-with-Anti-Frizz-Features-Warranty.html,US$ 15-22/ Piece,US$ 15-22/ Piece,15.0,USD,,,,,,,"Jinglang Electric Appliances (Shanghai) Co., Ltd.Jinglang Electric Appliances (Shanghai) Co., Ltd.Diamond MemberAudited SupplierSecured TradingShanghai, China",,,,,,,,,,,2025-08-11T12:14:35.727194,
hair dryer,High Speed 110000 Rpm Brushless Negative IonHairDryer,https://bidisco.en.made-in-china.com/product/YxVrUdDObecp/China-High-Speed-110000-Rpm-Brushless-Negative-Ion-Hair-Dryer.html,US$ 29.3-35/ Piece,US$ 29.3-35/ Piece,29.3,USD,,,,,,,"Dongguan Bidisco Electric CO., LTDDongguan Bidisco Electric CO., LTDDiamond MemberAudited SupplierSecured TradingGuangdong, ChinaManufacturer/Factory & Trading Company",,,,,,,,,,,2025-08-11T12:14:35.738711,
