keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,units_available,brand,category,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_email,seller_business_name,seller_country,seller_state_province,seller_zip_code,seller_phone,seller_address,scraped_at,last_updated
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,sGqRTHVunCkK,sGqRTHVunCkK,6.0,USD,1000,,,,,,"Market Union Co., Ltd.",https://mktslkt-a.en.made-in-china.com,5.0,5.0,,formerly known as Market Union Co.,"Zhejiang, China",,,,"12F, Building B10 (East Village), No. 2560",2025-08-12T13:19:31.309438,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,DatrAHOoITWQ,DatrAHOoITWQ,11.96,USD,500,,,,,,"Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,5.0,5.0,,"COMPANY PROFILE
                        

                            Dongguan Bidisco Electric Co.","Guangdong, China",,,,"NO.297 JIANGNAN ROAD, QISHI TOWN, DONGGUAN CITY",2025-08-12T13:19:32.789104,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,djWQeBGUZTkh,djWQeBGUZTkh,11.0,USD,500,,,,,,"Wenzhou Won-Try Electric Appliance Co., Ltd.",https://wontry.en.made-in-china.com,,,,Try Electric Appliance Co.,"Zhejiang, China",,,,"6#Ze Chuan Road, Getian Industrial Zone, Zeya Ouhai",2025-08-12T13:19:34.311544,
hair dryer,Intelligent Heat Control 3 Speed Settings & Negative Ion Technology 1600W MotorHairDryer,https://cy-electronic.en.made-in-china.com/product/WQORMzPGhdYh/China-Intelligent-Heat-Control-3-Speed-Settings-Negative-Ion-Technology-1600W-Motor-Hair-Dryer.html,WQORMzPGhdYh,WQORMzPGhdYh,36.0,USD,1,,,,,,"Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,4.6,4.0,,"COMPANY PROFILE
                        

                            Chaozhou Chengying Technology","Guangdong, China",,,,"No. 17, Building C, Chaoshan Commercial Plaza",2025-08-12T13:19:36.171603,
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,sRBYwtnKZmkN,sRBYwtnKZmkN,30.0,USD,2000,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,Leading Global,"Guangdong, China",,,,"Shenzhen, Guangdong, China",2025-08-12T13:19:38.144530,
hair dryer,110-240V Portable TravelHairDryerOEM Home FoldableHairDryer,https://fiyele.en.made-in-china.com/product/dGcYQepjAwkI/China-110-240V-Portable-Travel-Hair-Dryer-OEM-Home-Foldable-Hair-Dryer.html,dGcYQepjAwkI,dGcYQepjAwkI,3.0,USD,3000,,,,,,"Yueqing Fiy Electric Co., Ltd.",https://fiyele.en.made-in-china.com,5.0,5.0,,"Post Sourcing Request
















                                    Yueqing Fiy Electric Co.","Zhejiang, China",,,,"Building 2, Xianyangchen Industrial Zone, Hongqiao",2025-08-12T13:19:40.420652,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,aATrhPHDTLkU,aATrhPHDTLkU,38.0,USD,1,,,,,,"Dongguan Zhimi Electrical Technology Co., Ltd.",https://dglizbella.en.made-in-china.com,5.0,5.0,,"Post a Sourcing Request Now 











Product Group","Guangdong, China",,,,"Room 501, Building 6, No.168 Fuli East Road",2025-08-12T13:19:42.395758,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,VtPrCQzoYlkh,VtPrCQzoYlkh,36.0,USD,500,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,5.0,5.0,,"COMPANY PROFILE
                        

                            Wenzhou Huipu Electric Co.","Zhejiang, China",,,,"Wenzhou, Zhejiang, China",2025-08-12T13:19:45.298237,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,hnBRxQLHVdUu,hnBRxQLHVdUu,31.0,USD,500,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,Leading Global,"Guangdong, China",,,,"Shenzhen, Guangdong, China",2025-08-12T13:19:46.454622,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,fAPUcXzxYoWd,fAPUcXzxYoWd,9.8,USD,1000,,,,,,"Guangzhou KooFex Appliances Co., Ltd.",https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle,5.0,5.0,,Rpm Professional Electric,"Guangdong, China",,,,"733-736 Fengrun Business Square, 318 Jinzhongheng Road, Baiyun District",2025-08-12T13:19:48.498278,
