keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,units_available,brand,category,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_email,seller_business_name,seller_country,seller_state_province,seller_zip_code,seller_phone,seller_address,scraped_at,last_updated
hair dryer,Plasma AiHairDryerhigh PerformanceHairStraightener Constant Temperature Blowing Does Not Perm The Scalp HouseholdHairDryerProfessional Handheld Blow Dry,https://baiyisen.en.made-in-china.com/product/sRBYwtnKZmkN/China-Plasma-Ai-Hair-Dryerhigh-Performance-Hair-Straightener-Constant-Temperature-Blowing-Does-Not-Perm-The-Scalp-Household-Hair-Dryer-Professional-Handheld-Blow-Dry.html,sRBYwtnKZmkN,sRBYwtnKZmkN,30.0,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.236626,
hair dryer,Bidisco Custom Private Label Ionic Negative Ion AnionHairDryersHigh Quality Professional BlowHairDryer,https://bidisco.en.made-in-china.com/product/DatrAHOoITWQ/China-Bidisco-Custom-Private-Label-Ionic-Negative-Ion-Anion-Hair-Dryers-High-Quality-Professional-Blow-Hair-Dryer.html,DatrAHOoITWQ,DatrAHOoITWQ,11.96,USD,,,,,,,"Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.246140,
hair dryer,Negative Ion Technology Professional Salon Performance & Fast DryingHairDryer,https://cy-electronic.en.made-in-china.com/product/FEergoqTndpb/China-Negative-Ion-Technology-Professional-Salon-Performance-Fast-Drying-Hair-Dryer.html,FEergoqTndpb,FEergoqTndpb,36.0,USD,,,,,,,"Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.255375,
hair dryer,China Manufacturers Professional Salon 2000W Negative Ionic BLDCHairDryerBrushless High Speed FoldableHairBlowDryer,https://huipuhairdryer.en.made-in-china.com/product/VtPrCQzoYlkh/China-China-Manufacturers-Professional-Salon-2000W-Negative-Ionic-BLDC-Hair-Dryer-Brushless-High-Speed-Foldable-Hair-Blow-Dryer.html,VtPrCQzoYlkh,VtPrCQzoYlkh,36.0,USD,,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.262885,
hair dryer,1800-2200W High Speed IonHairDryerBrushless DC Motor Home TravelHairDryer,https://fiyele.en.made-in-china.com/product/PThYoygMkOWF/China-1800-2200W-High-Speed-Ion-Hair-Dryer-Brushless-DC-Motor-Home-Travel-Hair-Dryer.html,PThYoygMkOWF,PThYoygMkOWF,13.11,USD,,,,,,,"Yueqing Fiy Electric Co., Ltd.",https://fiyele.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.270900,
hair dryer,High Quality Hot Selling Quick Drying 113000rpm Negative Ion ProfessionalHairDryer,https://dglizbella.en.made-in-china.com/product/aATrhPHDTLkU/China-High-Quality-Hot-Selling-Quick-Drying-113000rpm-Negative-Ion-Professional-Hair-Dryer.html,aATrhPHDTLkU,aATrhPHDTLkU,38.0,USD,,,,,,,"Dongguan Zhimi Electrical Technology Co., Ltd.",https://dglizbella.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.279999,
hair dryer,ABS Materials Wall-Mounted HotelHairDryer,https://wontry.en.made-in-china.com/product/djWQeBGUZTkh/China-ABS-Materials-Wall-Mounted-Hotel-Hair-Dryer.html,djWQeBGUZTkh,djWQeBGUZTkh,11.0,USD,,,,,,,"Wenzhou Won-Try Electric Appliance Co., Ltd.",https://wontry.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.287001,
hair dryer,"Negative Ionic BlowDryerwith 110, 000 RpmHairDryer",https://mktslkt-a.en.made-in-china.com/product/sGqRTHVunCkK/China-Negative-Ionic-Blow-Dryer-with-110-000-Rpm-Hair-Dryer.html,sGqRTHVunCkK,sGqRTHVunCkK,6.0,USD,,,,,,,"Market Union Co., Ltd.",https://mktslkt-a.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.296183,
hair dryer,Koofex Ionic 110000rpm BLDCHairDryerHigh Speed Brushless Motor BlowDryer,https://koofex.en.made-in-china.com/product/fAPUcXzxYoWd/China-Koofex-Ionic-110000rpm-BLDC-Hair-Dryer-High-Speed-Brushless-Motor-Blow-Dryer.html?ads_tp=&ads_id=vyBTXLqckPle,fAPUcXzxYoWd,fAPUcXzxYoWd,9.8,USD,,,,,,,"Guangzhou KooFex Appliances Co., Ltd.",https://koofex.en.made-in-china.com?ads_tp=&ads_id=vyBTXLqckPle,,,,,,,,,,2025-08-12T12:58:21.306698,
hair dryer,High Speed 110000rpm BrushlessHairDryerFast Hairdryer 20 Million Negative IonicHairDryerhair BlowDryerHigh Speed IonicHairDryerfor Professional Salon,https://baiyisen.en.made-in-china.com/product/hnBRxQLHVdUu/China-High-Speed-110000rpm-Brushless-Hair-Dryer-Fast-Hairdryer-20-Million-Negative-Ionic-Hair-Dryerhair-Blow-Dryer-High-Speed-Ionic-Hair-Dryer-for-Professional-Salon.html,hnBRxQLHVdUu,hnBRxQLHVdUu,31.0,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.317210,
hair dryer,Salon High Speed Professional Anion LeaflessHairDryerwith Anti-Frizz Features Warranty,https://shanghaijinglang.en.made-in-china.com/product/LGjYEkMoYIhp/China-Salon-High-Speed-Professional-Anion-Leafless-Hair-Dryer-with-Anti-Frizz-Features-Warranty.html,LGjYEkMoYIhp,LGjYEkMoYIhp,15.0,USD,,,,,,,"Jinglang Electric Appliances (Shanghai) Co., Ltd.",https://shanghaijinglang.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.330078,
hair dryer,2024 Hot Selling Ionic Professional Salon LED Display ScreenHairBlowerDryerBLDC 2000W High Power 3 in 1 One StepHairDryer,https://huipuhairdryer.en.made-in-china.com/product/qAFrWZdlfLVJ/China-2024-Hot-Selling-Ionic-Professional-Salon-LED-Display-Screen-Hair-Blower-Dryer-BLDC-2000W-High-Power-3-in-1-One-Step-Hair-Dryer.html,qAFrWZdlfLVJ,qAFrWZdlfLVJ,37.0,USD,,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.340665,
hair dryer,High Speed 110000 Rpm Brushless Negative IonHairDryer,https://bidisco.en.made-in-china.com/product/YxVrUdDObecp/China-High-Speed-110000-Rpm-Brushless-Negative-Ion-Hair-Dryer.html,YxVrUdDObecp,YxVrUdDObecp,29.3,USD,,,,,,,"Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.349732,
hair dryer,Source Factoryhigh Speed 110000rpm High Speed Best HouseholdHairPattern Blow Dryer5 In1 Hot Air Brush Comb BlowDryerBrushhair Stylerfactory New Design BLDC,https://baiyisen.en.made-in-china.com/product/LtnRcvrVIJpB/China-Source-Factoryhigh-Speed-110000rpm-High-Speed-Best-Household-Hair-Pattern-Blow-Dryer5-In1-Hot-Air-Brush-Comb-Blow-Dryer-Brushhair-Stylerfactory-New-Design-BLDC.html,LtnRcvrVIJpB,LtnRcvrVIJpB,27.8,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.358485,
hair dryer,High Speed Constant Temperature Negative IonHairDryerProfessional Hammer Electric BlowerDryer,https://huipuhairdryer.en.made-in-china.com/product/EADYOxfTBHkQ/China-High-Speed-Constant-Temperature-Negative-Ion-Hair-Dryer-Professional-Hammer-Electric-Blower-Dryer.html,EADYOxfTBHkQ,EADYOxfTBHkQ,21.9,USD,,,,,,,"Wenzhou Huipu Electrical Appliance Co., Ltd.",https://huipuhairdryer.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.367249,
hair dryer,High Quality Professional Drayer DC MotorHairBlowDryer2000W Drayer BlowDryers,https://reputable-trading.en.made-in-china.com/product/MTRrptxEBukW/China-High-Quality-Professional-Drayer-DC-Motor-Hair-Blow-Dryer-2000W-Drayer-Blow-Dryers.html,MTRrptxEBukW,MTRrptxEBukW,7.86,USD,,,,,,,"Yiwu Reputable Trade Co., Ltd.",https://reputable-trading.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.374757,
hair dryer,Fast DryingHairCare Dsn HD15HairDryerHome Appliance Negative IonsDryer,https://himtop.en.made-in-china.com/product/pdjAniDyaHfx/China-Fast-Drying-Hair-Care-Dsn-HD15-Hair-Dryer-Home-Appliance-Negative-Ions-Dryer.html,pdjAniDyaHfx,pdjAniDyaHfx,55.0,USD,,,,,,,"Shenzhen Himtop Technology Co., Ltd.",https://himtop.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.385277,
hair dryer,"Curling Iron for Effortless Long-Lasting Curls 5-in-1 Curling IronHairDryerSet 110, 000 Rpm Silent Brushless Motor",https://baiyisen.en.made-in-china.com/product/NGAUsdnxIErz/China-Curling-Iron-for-Effortless-Long-Lasting-Curls-5-in-1-Curling-Iron-Hair-Dryer-Set-110-000-Rpm-Silent-Brushless-Motor.html,NGAUsdnxIErz,NGAUsdnxIErz,30.0,USD,,,,,,,"Shenzhen Baiyisen Health Technology Co., Ltd.",https://baiyisen.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.396795,
hair dryer,OEM Customized 1200W Professional Electric Ionic BlowHairDryer,https://bidisco.en.made-in-china.com/product/gwHfLGSyEshu/China-OEM-Customized-1200W-Professional-Electric-Ionic-Blow-Hair-Dryer.html,gwHfLGSyEshu,gwHfLGSyEshu,12.36,USD,,,,,,,"Dongguan Bidisco Electric CO., LTD",https://bidisco.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.409316,
hair dryer,Lightweight Build 1600W Motor Cool Shot Function Negative Ion TechnologyHairDryer,https://cy-electronic.en.made-in-china.com/product/BmdRbXzcLFph/China-Lightweight-Build-1600W-Motor-Cool-Shot-Function-Negative-Ion-Technology-Hair-Dryer.html,BmdRbXzcLFph,BmdRbXzcLFph,36.0,USD,,,,,,,"Chaozhou Chengying Technology Co., Ltd",https://cy-electronic.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.421025,
hair dryer,High Quality Household High Speed Constant Temperature AnionHairDryer,https://shanghaijinglang.en.made-in-china.com/product/otyUFxVuhDWp/China-High-Quality-Household-High-Speed-Constant-Temperature-Anion-Hair-Dryer.html,otyUFxVuhDWp,otyUFxVuhDWp,20.0,USD,,,,,,,"Jinglang Electric Appliances (Shanghai) Co., Ltd.",https://shanghaijinglang.en.made-in-china.com,,,,,,,,,,2025-08-12T12:58:21.431053,
