2025-08-12 13:01:14 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:14 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:16 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:17 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:17 | INFO | Page 1: Found 30 listings
2025-08-12 13:01:20 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:01:21 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:22 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:22 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:23 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:24 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:26 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:26 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:27 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:27 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:28 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:28 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:01:29 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
